destination_unit_id,destination_name,date,year,month,municipality_count_expected,municipalities_observed_hotel_overnights,complete_outcome_scope,municipalities_observed_hotel_beds_available,complete_capacity_scope,first_analysis_anchor,anchor_precision,membership_continuity_assumed,causal_ready,hotel_overnights,hotel_arrivals,domestic_overnights,foreign_overnights,hotel_establishments_open,hotel_rooms_available,hotel_beds_available,hotel_overnights_capacity_table,hotel_room_occupancy_rate_pct,hotel_bed_occupancy_rate_pct,occupancy_rate_aggregation_status,assumed_active_component_count,assumed_base_member,post_first_entry,event_time_months,log_overnights,hotel_overnights_per_available_bed_month,treatment_status_basis,outcome_scope_status,snow_station_count_expected,snow_station_months_usable,complete_snow_proxy,snow_depth_mean_cm,snow_depth_median_cm,share_observed_days_snow_depth_ge_10cm,share_observed_days_snow_depth_ge_20cm,share_observed_days_snow_depth_ge_30cm,modeled_new_snow_total_cm_mean_across_stations,snow_depth_observation_coverage_share_mean,destination_snow_proxy_quality,snow_source_id,snow_direct_slope_representation,source_id,capacity_source_id
anniviers_magic_portfolio,Anniviers Magic Pass portfolio,2013-01-01,2013,1,1,1,True,1,True,2017-11-01,exact_product_validity_date,True,False,23413.0,4760.0,5322.0,18091.0,22.0,539.0,1364.0,23413.0,69.0,63.0,official_source_value_single_municipality,0,False,False,-58,10.061089413039618,17.164956011730204,entry_plus_no_exit_continuity_assumption; documented exits override after last active month,approved_complete_observed_municipal_scope,1,1,True,155.6451612903226,156.0,1.0,1.0,1.0,80.3,1.0,high,SLF_IMIS_DAILY_SNOW,False,DERIVED_REVIEWED_DESTINATION_PANEL,BFS_HOTEL_CAPACITY_DATA
anniviers_magic_portfolio,Anniviers Magic Pass portfolio,2013-02-01,2013,2,1,1,True,1,True,2017-11-01,exact_product_validity_date,True,False,19656.0,4744.0,5382.0,14274.0,22.0,539.0,1364.0,19656.0,68.0,54.0,official_source_value_single_municipality,0,False,False,-57,9.8861887879578,14.410557184750733,entry_plus_no_exit_continuity_assumption; documented exits override after last active month,approved_complete_observed_municipal_scope,1,1,True,206.39285714285717,209.0,1.0,1.0,1.0,180.9,1.0,high,SLF_IMIS_DAILY_SNOW,False,DERIVED_REVIEWED_DESTINATION_PANEL,BFS_HOTEL_CAPACITY_DATA
anniviers_magic_portfolio,Anniviers Magic Pass portfolio,2013-03-01,2013,3,1,1,True,1,True,2017-11-01,exact_product_validity_date,True,False,22339.0,5506.0,5124.0,17215.0,22.0,539.0,1364.0,22339.0,68.0,59.0,official_source_value_single_municipality,0,False,False,-56,10.014134072623191,16.377565982404693,entry_plus_no_exit_continuity_assumption; documented exits override after last active month,approved_complete_observed_municipal_scope,1,1,True,198.58064516129036,192.0,1.0,1.0,1.0,115.40000000000002,1.0,high,SLF_IMIS_DAILY_SNOW,False,DERIVED_REVIEWED_DESTINATION_PANEL,BFS_HOTEL_CAPACITY_DATA
anniviers_magic_portfolio,Anniviers Magic Pass portfolio,2013-04-01,2013,4,1,1,True,1,True,2017-11-01,exact_product_validity_date,True,False,8980.0,1385.0,1224.0,7756.0,21.0,529.0,1346.0,8980.0,41.0,41.0,official_source_value_single_municipality,0,False,False,-55,9.10286651367095,6.671619613670134,entry_plus_no_exit_continuity_assumption; documented exits override after last active month,approved_complete_observed_municipal_scope,1,1,True,203.36666666666667,207.5,1.0,1.0,1.0,105.2,1.0,high,SLF_IMIS_DAILY_SNOW,False,DERIVED_REVIEWED_DESTINATION_PANEL,BFS_HOTEL_CAPACITY_DATA
anniviers_magic_portfolio,Anniviers Magic Pass portfolio,2013-05-01,2013,5,1,1,True,1,True,2017-11-01,exact_product_validity_date,True,False,242.0,143.0,161.0,81.0,8.0,116.0,322.0,242.0,4.0,2.0,official_source_value_single_municipality,0,False,False,-54,5.493061443340548,0.7515527950310559,entry_plus_no_exit_continuity_assumption; documented exits override after last active month,approved_complete_observed_municipal_scope,1,1,True,159.5806451612903,159.0,1.0,1.0,1.0,127.7,1.0,high,SLF_IMIS_DAILY_SNOW,False,DERIVED_REVIEWED_DESTINATION_PANEL,BFS_HOTEL_CAPACITY_DATA
anniviers_magic_portfolio,Anniviers Magic Pass portfolio,2013-06-01,2013,6,1,1,True,1,True,2017-11-01,exact_product_validity_date,True,False,6354.0,1794.0,1690.0,4664.0,20.0,485.0,1170.0,6354.0,35.0,28.0,official_source_value_single_municipality,0,False,False,-53,8.756997183623554,5.430769230769231,entry_plus_no_exit_continuity_assumption; documented exits override after last active month,approved_complete_observed_municipal_scope,1,1,True,114.76666666666668,118.5,1.0,1.0,1.0,28.200000000000003,1.0,high,SLF_IMIS_DAILY_SNOW,False,DERIVED_REVIEWED_DESTINATION_PANEL,BFS_HOTEL_CAPACITY_DATA
anniviers_magic_portfolio,Anniviers Magic Pass portfolio,2013-07-01,2013,7,1,1,True,1,True,2017-11-01,exact_product_validity_date,True,False,20083.0,5651.0,4558.0,15525.0,23.0,540.0,1379.0,20083.0,63.0,47.0,official_source_value_single_municipality,0,False,False,-52,9.907678757154596,14.563451776649746,entry_plus_no_exit_continuity_assumption; documented exits override after last active month,approved_complete_observed_municipal_scope,1,1,True,11.193548387096774,0.0,0.2903225806451613,0.2580645161290322,0.1935483870967742,0.0,1.0,high,SLF_IMIS_DAILY_SNOW,False,DERIVED_REVIEWED_DESTINATION_PANEL,BFS_HOTEL_CAPACITY_DATA
anniviers_magic_portfolio,Anniviers Magic Pass portfolio,2013-08-01,2013,8,1,1,True,1,True,2017-11-01,exact_product_validity_date,True,False,24812.0,6803.0,5979.0,18833.0,23.0,540.0,1379.0,24812.0,74.0,59.0,official_source_value_single_municipality,0,False,False,-51,10.119122988360017,17.992748368382887,entry_plus_no_exit_continuity_assumption; documented exits override after last active month,approved_complete_observed_municipal_scope,1,1,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,high,SLF_IMIS_DAILY_SNOW,False,DERIVED_REVIEWED_DESTINATION_PANEL,BFS_HOTEL_CAPACITY_DATA
anniviers_magic_portfolio,Anniviers Magic Pass portfolio,2013-09-01,2013,9,1,1,True,1,True,2017-11-01,exact_product_validity_date,True,False,7849.0,3418.0,4074.0,3775.0,21.0,496.0,1194.0,7849.0,35.0,29.0,official_source_value_single_municipality,0,False,False,-50,8.968268810776454,6.573701842546064,entry_plus_no_exit_continuity_assumption; documented exits override after last active month,approved_complete_observed_municipal_scope,1,1,True,0.2666666666666666,0.0,0.0,0.0,0.0,11.7,1.0,high,SLF_IMIS_DAILY_SNOW,False,DERIVED_REVIEWED_DESTINATION_PANEL,BFS_HOTEL_CAPACITY_DATA
anniviers_magic_portfolio,Anniviers Magic Pass portfolio,2013-10-01,2013,10,1,1,True,1,True,2017-11-01,exact_product_validity_date,True,False,1167.0,800.0,960.0,207.0,12.0,170.0,339.0,1167.0,21.0,17.0,official_source_value_single_municipality,0,False,False,-49,7.0630481633881725,3.4424778761061945,entry_plus_no_exit_continuity_assumption; documented exits override after last active month,approved_complete_observed_municipal_scope,1,1,True,7.354838709677419,3.0,0.3870967741935484,0.0967741935483871,0.0,55.7,1.0,high,SLF_IMIS_DAILY_SNOW,False,DERIVED_REVIEWED_DESTINATION_PANEL,BFS_HOTEL_CAPACITY_DATA
