municipality_name_source,color,match_type,matched_raw,evidence_status,source_id
Frauenfeld,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Freienbach,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Fribourg,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Gais,vert,normalisation_exacte,Gais,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Genève,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Glarus Nord,vert,alias_fusion_ancienne_commune_ou_localite,Filzbach,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Glarus Süd,vert,normalisation_exacte,Glarus Süd,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Goms,vert,alias_fusion_ancienne_commune_ou_localite,Oberwald,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Gonten,vert,normalisation_exacte,Gonten,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Grenchen,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Grindelwald,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Gruyères,vert,normalisation_exacte,Gruyères,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Gurtnellen,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Hasliberg,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Haut-Intyamon,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Heiden,vert,normalisation_exacte,Heiden,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Herzogenbuchsee,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Horgen,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Hundwil,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Ilanz/Glion,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Ingenbohl,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Innertkirchen,vert,alias_fusion_ancienne_commune_ou_localite,Gadmen,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Interlaken,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Kandersteg,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Klosters,vert,alias_fusion_ancienne_commune_ou_localite,Kloster Dorf,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Kloten,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Kreuzlingen,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Kriens,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Köniz,vert,normalisation_exacte,Köniz,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Küssnacht (SZ),vert,normalisation_exacte,Küssnacht,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
La Chaux-de-Fonds,vert,normalisation_exacte,La Chaux-de-Fonds,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
La Grande Béroche,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Laax,vert,normalisation_exacte,Laax,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Lancy,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Langenthal,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Langnau im Emmental,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Laténa,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
