resort_id,resort_name_canonical,cluster_id,point_municipality_bfs_id,documented_membership_events,current_official_destination_candidates,identity_scope_score,lift_assignment_score,geolocation_score,tourism_exposure_score,hotel_outcome_score,membership_history_score,infrastructure_feature_score,snow_climate_score,data_quality_score,causal_ready,data_quality_warnings
alpsteinblick_gonten,Alpsteinblick Gonten,SKI_CLUSTER_083,3102,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
amden,Amden,SKI_CLUSTER_082,3311,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
andermatt_oberalp_sedrun,Andermatt - Oberalp - Sedrun,SKI_CLUSTER_017,3986,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
arosa_lenzerheide,Arosa Lenzerheide,SKI_CLUSTER_007,3901,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
atzmannig,Atzmännig,SKI_CLUSTER_066,3342,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
beatenberg_niederhorn,Beatenberg - Niederhorn,SKI_CLUSTER_046,571,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
bivio,Bivio,SKI_CLUSTER_119,3543,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
braunwald,Braunwald,SKI_CLUSTER_047,1631,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
brigels_waltensburg_andiast,Brigels Waltensburg Andiast,SKI_CLUSTER_027,3981,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
brunni_brunni_bahnen_engelberg,Brunni Brunni - Bahnen Engelberg,SKI_CLUSTER_003,1402,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
bruson_verbier,Bruson - Verbier,SKI_CLUSTER_002,6037,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
buchserberg_skilift_buchserberg_malbun,Buchserberg Skilift Buchserberg - Malbun,SKI_CLUSTER_234,3271,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
bulle_la_chia,Bulle - La Chia,SKI_CLUSTER_023,2125,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
champex_lac,Champex - Lac,SKI_CLUSTER_090,6034,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
chapeau_rable_la_chaux_de_fonds,Chapeau Rablé La Chaux - de - Fonds,SKI_CLUSTER_159,6421,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
corviglia_st_moritz,Corviglia St. Moritz,SKI_CLUSTER_022,3782,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
diavolezza_lagalb,Diavolezza - Lagalb,SKI_CLUSTER_099,3784,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
elm,Elm,SKI_CLUSTER_081,1631,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
