timestamp,task,source_id,source,source_url,URL/API,request,retrieval_method,HTTP_status,status,raw_file,output_file,checksum,records,rows_collected,success,error,notes
2026-09-19T23:17:13.867148+00:00,initial_source_verification,BFS_HOTEL_METADATA,Swiss Federal Statistical Office,https://www.pxweb.bfs.admin.ch/api/v1/fr/px-x-1003020000_101/px-x-1003020000_101.px,https://www.pxweb.bfs.admin.ch/api/v1/fr/px-x-1003020000_101/px-x-1003020000_101.px,GET,urllib GET,200,downloaded,data_external/source_evidence/BFS_HOTEL_METADATA_20260919T231713Z.json,data_external/source_evidence/BFS_HOTEL_METADATA_20260919T231713Z.json,86600a36a53e243995328fdc18d8824476943657bd156c656b1847bf3be301c1,,,True,,
2026-09-19T23:17:15.917509+00:00,initial_source_verification,MAGIC_PRESS_ARCHIVE,Magic Mountains Cooperation,https://www.magicpass.ch/fr/presse,https://www.magicpass.ch/fr/presse,GET,urllib GET,200,downloaded,data_external/source_evidence/MAGIC_PRESS_ARCHIVE_20260919T231715Z.html,data_external/source_evidence/MAGIC_PRESS_ARCHIVE_20260919T231715Z.html,113dbd5d3c21663e445e67e65f4d4c35c6b169206b1ad6437dfc4f7166077612,,,True,,
2026-09-19T23:17:26.501601+00:00,initial_source_verification,MAGIC_CURRENT_MAP,Magic Mountains Cooperation,https://www.magicpass.ch/fr/stations/map,https://www.magicpass.ch/fr/stations/map,GET,urllib GET,200,downloaded,data_external/source_evidence/MAGIC_CURRENT_MAP_20260919T231726Z.html,data_external/source_evidence/MAGIC_CURRENT_MAP_20260919T231726Z.html,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,,,True,,
2026-09-19T23:21:36.251174+00:00,initial_source_verification,MAGIC_2017,Magic Mountains Cooperation,https://www.magicpass.ch/media/document/0/dossier-de-presse_11_4-1.pdf,https://www.magicpass.ch/media/document/0/dossier-de-presse_11_4-1.pdf,GET,urllib GET,200,downloaded,data_external/source_evidence/MAGIC_2017_20260919T232136Z.pdf,data_external/source_evidence/MAGIC_2017_20260919T232136Z.pdf,44e5f5bf8549a1a98ba7e2e9e79bee66884539d8551fb79f2630f2903a01c2d4,,,True,,
2026-09-19T23:21:46.699377+00:00,initial_source_verification,MAGIC_2018,Magic Mountains Cooperation,https://www.magicpass.ch/media/document/0/mp-communique-presse-07_03_18-fr.pdf,https://www.magicpass.ch/media/document/0/mp-communique-presse-07_03_18-fr.pdf,GET,urllib GET,200,downloaded,data_external/source_evidence/MAGIC_2018_20260919T232146Z.pdf,data_external/source_evidence/MAGIC_2018_20260919T232146Z.pdf,32d506c975c876c0d85df9c09189d333584e8c490f81728559f18e50194b81c9,,,True,,
2026-09-19T23:21:56.936424+00:00,initial_source_verification,MAGIC_2019,Magic Mountains Cooperation,https://www.magicpass.ch/media/document/0/mp-cp-13mars-2019-fr-2_prix.pdf,https://www.magicpass.ch/media/document/0/mp-cp-13mars-2019-fr-2_prix.pdf,GET,urllib GET,200,downloaded,data_external/source_evidence/MAGIC_2019_20260919T232156Z.pdf,data_external/source_evidence/MAGIC_2019_20260919T232156Z.pdf,4f55fd7f432ac6463cb238789e26b1a6b0163002dee0eb00cfcb1e9ee3c95fae,,,True,,
2026-09-19T23:22:07.165348+00:00,initial_source_verification,MAGIC_2020,Magic Mountains Cooperation,https://www.magicpass.ch/media/document/0/magic_pass_20-21_communique_lancement-1.pdf,https://www.magicpass.ch/media/document/0/magic_pass_20-21_communique_lancement-1.pdf,GET,urllib GET,,failed,,,,,,False,IncompleteRead: IncompleteRead(1802240 bytes read),
2026-09-19T23:22:17.381585+00:00,initial_source_verification,MAGIC_2021,Magic Mountains Cooperation,https://www.magicpass.ch/media/document/0/210316_magicpass-dossier-de-presse-final.pdf,https://www.magicpass.ch/media/document/0/210316_magicpass-dossier-de-presse-final.pdf,GET,urllib GET,,failed,,,,,,False,IncompleteRead: IncompleteRead(3112960 bytes read),
2026-09-19T23:22:27.695130+00:00,initial_source_verification,MAGIC_2022,Magic Mountains Cooperation,https://www.magicpass.ch/media/document/0/magicpass-commpresse-fr-15mar22.pdf,https://www.magicpass.ch/media/document/0/magicpass-commpresse-fr-15mar22.pdf,GET,urllib GET,200,downloaded,data_external/source_evidence/MAGIC_2022_20260919T232227Z.pdf,data_external/source_evidence/MAGIC_2022_20260919T232227Z.pdf,6309432b7599a0901ebda1f8fae5e591afc64071493878de7729dfb4598ee0f0,,,True,,
2026-09-19T23:22:38.145606+00:00,initial_source_verification,MAGIC_2023,Magic Mountains Cooperation,https://www.magicpass.ch/media/document/0/mp-cp-23-dossier-presse-no-embargo-fr-avec-compression.pdf,https://www.magicpass.ch/media/document/0/mp-cp-23-dossier-presse-no-embargo-fr-avec-compression.pdf,GET,urllib GET,200,downloaded,data_external/source_evidence/MAGIC_2023_20260919T232238Z.pdf,data_external/source_evidence/MAGIC_2023_20260919T232238Z.pdf,bb87522706c599bbc8a79d849f08649fc4656ad1907d8c138360108aae0e421c,,,True,,
