resort_id,resort_name_canonical,cluster_id,point_municipality_bfs_id,point_municipality_name,point_municipality_canton,selection_status,bfs_hotel_universe,bfs_hotel_municipality_name,assignment_quality,identity_status,relationship_type,tourism_exposure_interpretation,source_id,usable_for_descriptive_point_merge,usable_as_causal_exposure_without_review
andermatt_oberalp_sedrun,Andermatt - Oberalp - Sedrun,SKI_CLUSTER_017,3986,Tujetsch,GR,unique_current_polygon,True,Tujetsch,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,True,False
arosa_lenzerheide,Arosa Lenzerheide,SKI_CLUSTER_007,3901,Chur,GR,unique_current_polygon,True,Chur,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,True,False
avers,Avers,SKI_CLUSTER_118,3681,Avers,GR,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
bergun_filisur_bergun_filisur_darlux,Bergün - Filisur Bergün - Filisur / Darlux,SKI_CLUSTER_086,3544,Bergün Filisur,GR,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
bivio,Bivio,SKI_CLUSTER_119,3543,Surses,GR,unique_current_polygon,True,Surses,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,True,False
brambruesch_chur_brambruesch,Brambrüesch Chur - Brambrüesch,SKI_CLUSTER_007,3911,Churwalden,GR,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
brigels_waltensburg_andiast,Brigels Waltensburg Andiast,SKI_CLUSTER_027,3981,Breil/Brigels,GR,unique_current_polygon,True,Breil/Brigels,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,True,False
bugls_s_chanf,Bügls - S - chanf,SKI_CLUSTER_087,3788,S-chanf,GR,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
corvatsch_furtschellas,Corvatsch - Furtschellas,SKI_CLUSTER_033,3790,Silvaplana,GR,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
corviglia_st_moritz,Corviglia St. Moritz,SKI_CLUSTER_022,3782,Celerina/Schlarigna,GR,unique_current_polygon,True,Celerina/Schlarigna,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,True,False
diavolezza_lagalb,Diavolezza - Lagalb,SKI_CLUSTER_099,3784,Pontresina,GR,unique_current_polygon,True,Pontresina,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,True,False
disentis,Disentis,SKI_CLUSTER_017,3982,Disentis/Mustér,GR,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
feldis,Feldis,SKI_CLUSTER_149,3673,Domleschg,GR,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
grusch_danusa,Grüsch Danusa,SKI_CLUSTER_056,3961,Grüsch,GR,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
heuberge_fideriser_heuberge,Heuberge Fideriser Heuberge,SKI_CLUSTER_121,3861,Fideris,GR,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
hochwang,Hochwang,SKI_CLUSTER_151,3921,Arosa,GR,unique_current_polygon,True,Arosa,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,True,False
jakobshorn_davos_jakobshorn,Jakobshorn Davos Jakobshorn,SKI_CLUSTER_006,3851,Davos,GR,unique_current_polygon,True,Davos,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,True,False
junker_st_antonien,Junker - St. Antönien,SKI_CLUSTER_240,3891,Luzein,GR,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
laax_flims_laax_falera,Laax Flims Laax Falera,SKI_CLUSTER_019,3575,Laax,GR,unique_current_polygon,True,Laax,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,True,False
languard_pontresina,Languard Pontresina,SKI_CLUSTER_022,3784,Pontresina,GR,unique_current_polygon,True,Pontresina,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,True,False
madrisa_klosters_madrisa,Madrisa Klosters Madrisa,SKI_CLUSTER_006,3871,Klosters,GR,unique_current_polygon,True,Klosters,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,True,False
mastrils_skilift_mastrils,Mastrils Skilift Mastrils,SKI_CLUSTER_038,3955,Landquart,GR,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
minschuns_val_mustair,Minschuns - Val Müstair,SKI_CLUSTER_122,3847,Val Müstair,GR,unique_current_polygon,True,Val Müstair,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,True,False
motta_naluns_scuol_motta_naluns,Motta Naluns Scuol Motta Naluns,SKI_CLUSTER_044,3762,Scuol,GR,unique_current_polygon,True,Scuol,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,True,False
muottas_muragl,Muottas Muragl,SKI_CLUSTER_022,3786,Samedan,GR,unique_current_polygon,True,Samedan,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,True,False
musella_la_punt_musella,Müsella La Punt - Müsella,SKI_CLUSTER_087,3785,La Punt Chamues-ch,GR,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
obermutten_mutten_obermutten,Obermutten Mutten - Obermutten,SKI_CLUSTER_236,3668,Thusis,GR,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
obersaxen_mundaun,Obersaxen Mundaun,SKI_CLUSTER_027,3988,Obersaxen Mundaun,GR,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
pany,Pany,SKI_CLUSTER_239,3891,Luzein,GR,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
