official_destination_id,official_destination_name,official_destination_path,official_regions,official_region_codes,official_coordinate_count,official_latitude_first,official_longitude_first,candidate_resort_id,entity_resolution_method,entity_resolution_status,current_member_snapshot,snapshot_retrieval_date,source_id,source_url,source_sha256,resort_name_canonical,cluster_id
4449,Linden,/fr/stations/linden-4449,Berne,BE,1,46.845081806557474,7.677741796914683,linden_skilift_linden,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,Linden Skilift Linden,SKI_CLUSTER_109
2773,Marbachegg,/fr/stations/marbachegg-2773,Lucerne,LU,1,46.85029293,7.895632598,marchbachegg_marbach_marbachegg,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,Marchbachegg Marbach - Marbachegg,SKI_CLUSTER_074
4450,Massif des Brasses,/fr/stations/massif-des-brasses-4450,France,France,1,46.175840,6.450285,,no_candidate,unresolved,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,,
27,Mayens de Conthey,/fr/stations/mayens-de-conthey-27,Valais,VS,1,46.25792288,7.282936389,,no_candidate,unresolved,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,,
4451,Meiringen-Hasliberg,/fr/stations/meiringen-hasliberg-4451,Berne,BE,1,46.74531143413938,8.195059199332423,meiringen_hasliberg,unique_normalised_label,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,Meiringen - Hasliberg,SKI_CLUSTER_024
4452,Melchsee-Frutt,/fr/stations/melchsee-frutt-4452,Obwald,OW,1,46.80295789999998,8.279068201881879,melchsee_frutt,unique_normalised_label,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,Melchsee - Frutt,SKI_CLUSTER_024
28,Moléson,/fr/stations/moleson-28,Fribourg,FR,1,46.54914261,7.01852318,moleson_la_gruyere,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,Moléson - La Gruyère,SKI_CLUSTER_023
3609,Monts Jura,/fr/stations/monts-jura-3609,France,France,1,46.37099249,6.019054691,,no_candidate,unresolved,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,,
2774,Moosalp,/fr/stations/moosalp-2774,Valais,VS,1,46.27128285,7.827049896,moosalpregion,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,Moosalpregion,SKI_CLUSTER_012
1794,Métabief,/fr/stations/metabief-1794,France,France,1,46.76886271,6.355845802,,no_candidate,unresolved,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,,
4453,Mörlialp Giswil,/fr/stations/morlialp-giswil-4453,Obwald,OW,1,46.825316,8.108540,morlialp,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,Mörlialp,SKI_CLUSTER_075
