destination_unit_id,municipalities_screened,known_exposed,within_30km,provisional_donors_30km_36pre,causal_controls_approved
anniviers_magic_portfolio,74,17,10,47,0
axalp,74,17,11,49,0
bumbach,74,17,10,50,0
crans_montana,74,17,9,48,0
espace_dent_blanche,74,17,7,49,0
les_pleiades,74,17,7,48,0
meiringen_hasliberg,74,17,9,0,0
moleson,74,17,9,47,0
reichenbach_magic_portfolio,74,17,11,49,0
saas_fee,74,17,4,51,0
schwanden,74,17,9,0,0
