municipality_name_source,n_monthly_rows,n_observed_overnights,first_grid_month,last_grid_month,first_observed_month,last_observed_month
La Chaux-de-Fonds,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
La Grande Béroche,168,99,2013-01-01,2026-12-01,2018-01-01,2026-03-01
Laax,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Lancy,168,157,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Langenthal,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Langnau im Emmental,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Laténa,168,15,2013-01-01,2026-12-01,2025-01-01,2026-03-01
Lausanne,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Lauterbrunnen,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Le Chenit,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Lenk,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Lenzburg,168,157,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Leukerbad,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Leysin,168,157,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Liestal,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Locarno,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Lugano,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Lumnezia,168,157,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Luzern,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Maienfeld,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Martigny,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Matten bei Interlaken,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Meggen,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Meiringen,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Mendrisio,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Meyrin,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Monteceneri,168,158,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Montreux,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Morges,168,157,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Morschach,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Moutier (BE),168,154,2013-01-01,2026-12-01,2013-01-01,2025-12-01
Moutier (JU),168,3,2013-01-01,2026-12-01,2026-01-01,2026-03-01
Muralto,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Murten,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Neckertal,168,39,2013-01-01,2026-12-01,2023-01-01,2026-03-01
Nendaz,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Neuchâtel,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Nyon,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Ollon,168,157,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Olten,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Opfikon,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Ormont-Dessus,168,157,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Orsières,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Paradiso,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Plaffeien,168,157,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Pontresina,168,157,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Porrentruy,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Poschiavo,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Pratteln,168,157,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Quarten,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Rapperswil-Jona,168,157,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Reichenbach im Kandertal,168,157,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Rheinfelden,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Rheinwald,168,85,2013-01-01,2026-12-01,2019-01-01,2026-03-01
Rorschacherberg,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Saanen,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Saas-Fee,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Saas-Grund,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Sachseln,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Saignelégier,168,157,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Saint-Maurice,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Samedan,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Samnaun,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Sarnen,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Schaffhausen,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Schangnau,168,157,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Schwyz,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Scuol,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Sierre,168,158,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Sigriswil,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Sion,168,157,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Solothurn,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Spiez,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
St. Gallen,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
St. Moritz,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Sursee,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Surses,168,123,2013-01-01,2026-12-01,2016-01-01,2026-03-01
Teufen (AR),168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Thun,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Tujetsch,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Unterseen,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Unterägeri,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Uster,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Uzwil,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Val Müstair,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Val de Bagnes,168,63,2013-01-01,2026-12-01,2021-01-01,2026-03-01
Vals,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Vaz/Obervaz,168,157,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Vernier,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Vevey,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Visp,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Vitznau,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Walenstadt,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Weggis,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Wil (SG),168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Wilderswil,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Wildhaus-Alt St. Johann,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Winterthur,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Wädenswil,168,85,2013-01-01,2026-12-01,2019-01-01,2026-03-01
Yverdon-les-Bains,168,157,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Zermatt,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Zernez,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Zofingen,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Zug,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
Zürich,168,159,2013-01-01,2026-12-01,2013-01-01,2026-03-01
