Commune,year,annual_nights,municipality_name_source,sum,count,difference_when_complete
Bullet,2013,16378,Bullet,16378,12,0
Bullet,2014,21965,Bullet,21965,12,0
Bullet,2015,18389,Bullet,18389,12,0
Bullet,2016,17287,Bullet,17287,12,0
Bullet,2017,18291,Bullet,18291,12,0
Bullet,2018,18998,Bullet,18998,12,0
Bullet,2019,20947,Bullet,20947,12,0
Bullet,2020,21781,Bullet,20358,10,NA
Bullet,2021,27366,Bullet,27366,12,0
Bullet,2022,22641,Bullet,22641,12,0
Bullet,2023,21974,Bullet,21974,12,0
Bullet,2024,20425,Bullet,20425,12,0
Bullet,2025,20447,Bullet,20447,12,0
Bullet,2026,NA,Bullet,4243,3,NA
Lausanne,2013,751329,Lausanne,751329,12,0
Lausanne,2014,755512,Lausanne,755512,12,0
Lausanne,2015,762463,Lausanne,762463,12,0
Lausanne,2016,830758,Lausanne,830758,12,0
Lausanne,2017,921777,Lausanne,921777,12,0
Lausanne,2018,957041,Lausanne,957041,12,0
Lausanne,2019,989353,Lausanne,989353,12,0
Lausanne,2020,443045,Lausanne,443045,12,0
Lausanne,2021,597123,Lausanne,597123,12,0
Lausanne,2022,857058,Lausanne,857058,12,0
Lausanne,2023,930443,Lausanne,930443,12,0
Lausanne,2024,971781,Lausanne,971781,12,0
Lausanne,2025,1012842,Lausanne,1012842,12,0
Lausanne,2026,NA,Lausanne,178886,3,NA
Bourg-en-Lavaux,2013,27441,Bourg-en-Lavaux,27441,12,0
Bourg-en-Lavaux,2014,28140,Bourg-en-Lavaux,28140,12,0
Bourg-en-Lavaux,2015,27479,Bourg-en-Lavaux,27479,12,0
Bourg-en-Lavaux,2016,31659,Bourg-en-Lavaux,31659,12,0
Bourg-en-Lavaux,2017,31504,Bourg-en-Lavaux,31504,12,0
Bourg-en-Lavaux,2018,29905,Bourg-en-Lavaux,29905,12,0
Bourg-en-Lavaux,2019,31522,Bourg-en-Lavaux,31522,12,0
Bourg-en-Lavaux,2020,20343,Bourg-en-Lavaux,20343,12,0
Bourg-en-Lavaux,2021,30569,Bourg-en-Lavaux,30569,12,0
Bourg-en-Lavaux,2022,29448,Bourg-en-Lavaux,29448,12,0
Bourg-en-Lavaux,2023,33213,Bourg-en-Lavaux,33213,12,0
Bourg-en-Lavaux,2024,31790,Bourg-en-Lavaux,31790,12,0
Bourg-en-Lavaux,2025,32325,Bourg-en-Lavaux,32325,12,0
Bourg-en-Lavaux,2026,NA,Bourg-en-Lavaux,3839,3,NA
Morges,2013,54042,Morges,54042,12,0
Morges,2014,59900,Morges,59900,12,0
Morges,2015,56563,Morges,56563,12,0
Morges,2016,63807,Morges,63807,12,0
Morges,2017,59067,Morges,59067,12,0
Morges,2018,57452,Morges,57452,12,0
Morges,2019,59018,Morges,59018,12,0
Morges,2020,26288,Morges,24880,10,NA
Morges,2021,41672,Morges,41672,12,0
Morges,2022,51860,Morges,51860,12,0
Morges,2023,67287,Morges,67287,12,0
Morges,2024,64932,Morges,64932,12,0
Morges,2025,60769,Morges,60769,12,0
Morges,2026,NA,Morges,12215,3,NA
Nyon,2013,43777,Nyon,43777,12,0
Nyon,2014,42163,Nyon,42163,12,0
Nyon,2015,37533,Nyon,37533,12,0
Nyon,2016,51374,Nyon,51374,12,0
Nyon,2017,48335,Nyon,48335,12,0
Nyon,2018,50721,Nyon,50721,12,0
Nyon,2019,53905,Nyon,53905,12,0
Nyon,2020,23652,Nyon,23652,12,0
Nyon,2021,32416,Nyon,32416,12,0
Nyon,2022,59661,Nyon,59661,12,0
Nyon,2023,85536,Nyon,85536,12,0
Nyon,2024,82498,Nyon,82498,12,0
Nyon,2025,81314,Nyon,81314,12,0
Nyon,2026,NA,Nyon,15538,3,NA
Château-d'Oex,2013,13392,Château-d'Oex,13392,12,0
Château-d'Oex,2014,18212,Château-d'Oex,18212,12,0
Château-d'Oex,2015,18411,Château-d'Oex,18411,12,0
Château-d'Oex,2016,18366,Château-d'Oex,18366,12,0
Château-d'Oex,2017,17498,Château-d'Oex,17498,12,0
Château-d'Oex,2018,18721,Château-d'Oex,18721,12,0
Château-d'Oex,2019,17600,Château-d'Oex,17600,12,0
Château-d'Oex,2020,12599,Château-d'Oex,12183,10,NA
Château-d'Oex,2021,15941,Château-d'Oex,15941,12,0
Château-d'Oex,2022,19420,Château-d'Oex,19420,12,0
Château-d'Oex,2023,21012,Château-d'Oex,21012,12,0
Château-d'Oex,2024,21514,Château-d'Oex,21514,12,0
Château-d'Oex,2025,24679,Château-d'Oex,24679,12,0
Château-d'Oex,2026,NA,Château-d'Oex,6241,3,NA
Le Chenit,2013,19316,Le Chenit,19316,12,0
Le Chenit,2014,18239,Le Chenit,18239,12,0
Le Chenit,2015,17644,Le Chenit,17644,12,0
Le Chenit,2016,14697,Le Chenit,14697,12,0
Le Chenit,2017,12786,Le Chenit,12786,12,0
Le Chenit,2018,15060,Le Chenit,15060,12,0
Le Chenit,2019,15581,Le Chenit,15581,12,0
Le Chenit,2020,12987,Le Chenit,12987,12,0
Le Chenit,2021,16008,Le Chenit,16008,12,0
Le Chenit,2022,24513,Le Chenit,24513,12,0
Le Chenit,2023,28834,Le Chenit,28834,12,0
Le Chenit,2024,26669,Le Chenit,26669,12,0
Le Chenit,2025,28101,Le Chenit,28101,12,0
Le Chenit,2026,NA,Le Chenit,4735,3,NA
Montreux,2013,449206,Montreux,449206,12,0
Montreux,2014,461994,Montreux,461994,12,0
Montreux,2015,460289,Montreux,460289,12,0
Montreux,2016,467404,Montreux,467404,12,0
Montreux,2017,488412,Montreux,488412,12,0
Montreux,2018,477135,Montreux,477135,12,0
Montreux,2019,489171,Montreux,489171,12,0
Montreux,2020,219574,Montreux,219574,12,0
Montreux,2021,329292,Montreux,329292,12,0
Montreux,2022,427276,Montreux,427276,12,0
Montreux,2023,437085,Montreux,437085,12,0
Montreux,2024,446412,Montreux,446412,12,0
Montreux,2025,496571,Montreux,496571,12,0
Montreux,2026,NA,Montreux,60488,3,NA
Vevey,2013,102787,Vevey,102787,12,0
Vevey,2014,102447,Vevey,102447,12,0
Vevey,2015,100265,Vevey,100265,12,0
Vevey,2016,105709,Vevey,105709,12,0
Vevey,2017,100916,Vevey,100916,12,0
Vevey,2018,95242,Vevey,95242,12,0
Vevey,2019,102193,Vevey,102193,12,0
Vevey,2020,50548,Vevey,50548,12,0
Vevey,2021,70531,Vevey,70531,12,0
Vevey,2022,91132,Vevey,91132,12,0
Vevey,2023,103719,Vevey,103719,12,0
Vevey,2024,103668,Vevey,103668,12,0
Vevey,2025,105747,Vevey,105747,12,0
Vevey,2026,NA,Vevey,17933,3,NA
Blonay - Saint-Légier,2013,NA,Blonay - Saint-Légier,0,0,NA
Blonay - Saint-Légier,2014,NA,Blonay - Saint-Légier,0,0,NA
Blonay - Saint-Légier,2015,NA,Blonay - Saint-Légier,0,0,NA
Blonay - Saint-Légier,2016,NA,Blonay - Saint-Légier,0,0,NA
Blonay - Saint-Légier,2017,NA,Blonay - Saint-Légier,0,0,NA
Blonay - Saint-Légier,2018,NA,Blonay - Saint-Légier,0,0,NA
Blonay - Saint-Légier,2019,NA,Blonay - Saint-Légier,0,0,NA
Blonay - Saint-Légier,2020,NA,Blonay - Saint-Légier,0,0,NA
Blonay - Saint-Légier,2021,NA,Blonay - Saint-Légier,0,0,NA
Blonay - Saint-Légier,2022,29901,Blonay - Saint-Légier,29901,12,0
Blonay - Saint-Légier,2023,42075,Blonay - Saint-Légier,42075,12,0
Blonay - Saint-Légier,2024,39405,Blonay - Saint-Légier,39405,12,0
Blonay - Saint-Légier,2025,41982,Blonay - Saint-Légier,41982,12,0
Blonay - Saint-Légier,2026,NA,Blonay - Saint-Légier,6423,3,NA
Yverdon-les-Bains,2013,41575,Yverdon-les-Bains,41575,12,0
Yverdon-les-Bains,2014,46864,Yverdon-les-Bains,46864,12,0
Yverdon-les-Bains,2015,64978,Yverdon-les-Bains,64978,12,0
Yverdon-les-Bains,2016,58379,Yverdon-les-Bains,58379,12,0
Yverdon-les-Bains,2017,55359,Yverdon-les-Bains,55359,12,0
Yverdon-les-Bains,2018,63869,Yverdon-les-Bains,63869,12,0
Yverdon-les-Bains,2019,64997,Yverdon-les-Bains,64997,12,0
Yverdon-les-Bains,2020,50247,Yverdon-les-Bains,48325,10,NA
Yverdon-les-Bains,2021,72375,Yverdon-les-Bains,72375,12,0
Yverdon-les-Bains,2022,75233,Yverdon-les-Bains,75233,12,0
Yverdon-les-Bains,2023,74201,Yverdon-les-Bains,74201,12,0
Yverdon-les-Bains,2024,67259,Yverdon-les-Bains,67259,12,0
Yverdon-les-Bains,2025,67054,Yverdon-les-Bains,67054,12,0
Yverdon-les-Bains,2026,NA,Yverdon-les-Bains,12555,3,NA
Brig-Glis,2013,144505,Brig-Glis,144505,12,0
Brig-Glis,2014,140523,Brig-Glis,140523,12,0
Brig-Glis,2015,137078,Brig-Glis,137078,12,0
Brig-Glis,2016,137838,Brig-Glis,137838,12,0
Brig-Glis,2017,136660,Brig-Glis,136660,12,0
Brig-Glis,2018,145648,Brig-Glis,145648,12,0
Brig-Glis,2019,159746,Brig-Glis,159746,12,0
Brig-Glis,2020,131104,Brig-Glis,131104,12,0
Brig-Glis,2021,145521,Brig-Glis,145521,12,0
Brig-Glis,2022,192756,Brig-Glis,192756,12,0
Brig-Glis,2023,213261,Brig-Glis,213261,12,0
Brig-Glis,2024,200751,Brig-Glis,200751,12,0
Brig-Glis,2025,203884,Brig-Glis,203884,12,0
Brig-Glis,2026,NA,Brig-Glis,41826,3,NA
Nendaz,2013,19016,Nendaz,19016,12,0
Nendaz,2014,22637,Nendaz,22637,12,0
Nendaz,2015,23507,Nendaz,23507,12,0
Nendaz,2016,22359,Nendaz,22359,12,0
Nendaz,2017,25187,Nendaz,25187,12,0
Nendaz,2018,28375,Nendaz,28375,12,0
Nendaz,2019,33114,Nendaz,33114,12,0
Nendaz,2020,28122,Nendaz,28122,12,0
Nendaz,2021,37426,Nendaz,37426,12,0
Nendaz,2022,32958,Nendaz,32958,12,0
Nendaz,2023,39436,Nendaz,39436,12,0
Nendaz,2024,39434,Nendaz,39434,12,0
Nendaz,2025,40655,Nendaz,40655,12,0
Nendaz,2026,NA,Nendaz,14955,3,NA
Orsières,2013,40750,Orsières,40750,12,0
Orsières,2014,44056,Orsières,44056,12,0
Orsières,2015,43480,Orsières,43480,12,0
Orsières,2016,46783,Orsières,46783,12,0
Orsières,2017,48905,Orsières,48905,12,0
Orsières,2018,48603,Orsières,48603,12,0
Orsières,2019,50401,Orsières,50401,12,0
Orsières,2020,29745,Orsières,29745,12,0
Orsières,2021,43694,Orsières,43694,12,0
Orsières,2022,55327,Orsières,55327,12,0
Orsières,2023,59853,Orsières,59853,12,0
Orsières,2024,63863,Orsières,63863,12,0
Orsières,2025,55811,Orsières,55811,12,0
Orsières,2026,NA,Orsières,7482,3,NA
Val de Bagnes,2013,NA,Val de Bagnes,0,0,NA
Val de Bagnes,2014,NA,Val de Bagnes,0,0,NA
Val de Bagnes,2015,NA,Val de Bagnes,0,0,NA
Val de Bagnes,2016,NA,Val de Bagnes,0,0,NA
Val de Bagnes,2017,NA,Val de Bagnes,0,0,NA
Val de Bagnes,2018,NA,Val de Bagnes,0,0,NA
Val de Bagnes,2019,NA,Val de Bagnes,0,0,NA
Val de Bagnes,2020,NA,Val de Bagnes,0,0,NA
Val de Bagnes,2021,132633,Val de Bagnes,132633,12,0
Val de Bagnes,2022,183635,Val de Bagnes,183635,12,0
Val de Bagnes,2023,173995,Val de Bagnes,173995,12,0
Val de Bagnes,2024,166817,Val de Bagnes,166817,12,0
Val de Bagnes,2025,168053,Val de Bagnes,168053,12,0
Val de Bagnes,2026,NA,Val de Bagnes,77388,3,NA
Goms,2013,NA,Goms,0,0,NA
Goms,2014,NA,Goms,0,0,NA
Goms,2015,NA,Goms,0,0,NA
Goms,2016,NA,Goms,0,0,NA
Goms,2017,39344,Goms,39344,12,0
Goms,2018,42408,Goms,42408,12,0
Goms,2019,44800,Goms,44800,12,0
Goms,2020,52532,Goms,51690,10,NA
Goms,2021,58217,Goms,58217,12,0
Goms,2022,58853,Goms,58853,12,0
Goms,2023,50755,Goms,50755,12,0
Goms,2024,52669,Goms,52669,12,0
Goms,2025,52438,Goms,52438,12,0
Goms,2026,NA,Goms,19393,3,NA
Evolène,2013,34870,Evolène,34870,12,0
Evolène,2014,32268,Evolène,32268,12,0
Evolène,2015,27848,Evolène,27848,12,0
Evolène,2016,31007,Evolène,31007,12,0
Evolène,2017,26027,Evolène,26027,12,0
Evolène,2018,33388,Evolène,33388,12,0
Evolène,2019,29859,Evolène,29859,12,0
Evolène,2020,29489,Evolène,28597,10,NA
Evolène,2021,28279,Evolène,28279,12,0
Evolène,2022,35562,Evolène,35562,12,0
Evolène,2023,38444,Evolène,38444,12,0
Evolène,2024,39143,Evolène,39143,12,0
Evolène,2025,39284,Evolène,39284,12,0
Evolène,2026,NA,Evolène,11098,3,NA
Leukerbad,2013,248817,Leukerbad,248817,12,0
Leukerbad,2014,249269,Leukerbad,249269,12,0
Leukerbad,2015,231939,Leukerbad,231939,12,0
Leukerbad,2016,226838,Leukerbad,226838,12,0
Leukerbad,2017,212958,Leukerbad,212958,12,0
Leukerbad,2018,216336,Leukerbad,216336,12,0
Leukerbad,2019,223796,Leukerbad,223796,12,0
Leukerbad,2020,190841,Leukerbad,190841,12,0
Leukerbad,2021,226974,Leukerbad,226974,12,0
Leukerbad,2022,214484,Leukerbad,214484,12,0
Leukerbad,2023,209030,Leukerbad,209030,12,0
Leukerbad,2024,205990,Leukerbad,205990,12,0
Leukerbad,2025,212755,Leukerbad,212755,12,0
Leukerbad,2026,NA,Leukerbad,68247,3,NA
Martigny,2013,77618,Martigny,77618,12,0
Martigny,2014,78047,Martigny,78047,12,0
Martigny,2015,73867,Martigny,73867,12,0
Martigny,2016,79724,Martigny,79724,12,0
Martigny,2017,84673,Martigny,84673,12,0
Martigny,2018,95032,Martigny,95032,12,0
Martigny,2019,90045,Martigny,90045,12,0
Martigny,2020,50898,Martigny,50898,12,0
Martigny,2021,73700,Martigny,73700,12,0
Martigny,2022,91705,Martigny,91705,12,0
Martigny,2023,90792,Martigny,90792,12,0
Martigny,2024,94716,Martigny,94716,12,0
Martigny,2025,101682,Martigny,101682,12,0
Martigny,2026,NA,Martigny,23059,3,NA
Champéry,2013,49247,Champéry,49247,12,0
Champéry,2014,51065,Champéry,51065,12,0
Champéry,2015,52521,Champéry,52521,12,0
Champéry,2016,51879,Champéry,51879,12,0
Champéry,2017,56907,Champéry,56907,12,0
Champéry,2018,62968,Champéry,62968,12,0
Champéry,2019,60159,Champéry,60159,12,0
Champéry,2020,46996,Champéry,46210,10,NA
Champéry,2021,51188,Champéry,51188,12,0
Champéry,2022,70231,Champéry,70231,12,0
Champéry,2023,69499,Champéry,69499,12,0
Champéry,2024,70319,Champéry,70319,12,0
Champéry,2025,73353,Champéry,73353,12,0
Champéry,2026,NA,Champéry,30136,3,NA
Saint-Maurice,2013,17611,Saint-Maurice,17611,12,0
Saint-Maurice,2014,16557,Saint-Maurice,16557,12,0
Saint-Maurice,2015,17958,Saint-Maurice,17958,12,0
Saint-Maurice,2016,18075,Saint-Maurice,18075,12,0
Saint-Maurice,2017,19951,Saint-Maurice,19951,12,0
Saint-Maurice,2018,20438,Saint-Maurice,20438,12,0
Saint-Maurice,2019,20057,Saint-Maurice,20057,12,0
Saint-Maurice,2020,12996,Saint-Maurice,12996,12,0
Saint-Maurice,2021,18245,Saint-Maurice,18245,12,0
Saint-Maurice,2022,21800,Saint-Maurice,21800,12,0
Saint-Maurice,2023,22432,Saint-Maurice,22432,12,0
Saint-Maurice,2024,20359,Saint-Maurice,20359,12,0
Saint-Maurice,2025,21857,Saint-Maurice,21857,12,0
Saint-Maurice,2026,NA,Saint-Maurice,4102,3,NA
Sierre,2013,21307,Sierre,21307,12,0
Sierre,2014,22884,Sierre,22884,12,0
Sierre,2015,18822,Sierre,18822,12,0
Sierre,2016,16073,Sierre,16073,12,0
Sierre,2017,15915,Sierre,15915,12,0
Sierre,2018,15830,Sierre,15830,12,0
Sierre,2019,18338,Sierre,18338,12,0
Sierre,2020,22413,Sierre,22413,11,NA
Sierre,2021,31120,Sierre,31120,12,0
Sierre,2022,33990,Sierre,33990,12,0
Sierre,2023,29984,Sierre,29984,12,0
Sierre,2024,25218,Sierre,25218,12,0
Sierre,2025,14760,Sierre,14760,12,0
Sierre,2026,NA,Sierre,2661,3,NA
Anniviers,2013,151941,Anniviers,151941,12,0
Anniviers,2014,142622,Anniviers,142622,12,0
Anniviers,2015,134421,Anniviers,134421,12,0
Anniviers,2016,133293,Anniviers,133293,12,0
Anniviers,2017,139134,Anniviers,139134,12,0
Anniviers,2018,157447,Anniviers,157447,12,0
Anniviers,2019,161697,Anniviers,161697,12,0
Anniviers,2020,114862,Anniviers,114160,10,NA
Anniviers,2021,115156,Anniviers,115156,12,0
Anniviers,2022,152059,Anniviers,152059,12,0
Anniviers,2023,171902,Anniviers,171902,12,0
Anniviers,2024,170739,Anniviers,170739,12,0
Anniviers,2025,164678,Anniviers,164678,12,0
Anniviers,2026,NA,Anniviers,67043,3,NA
Crans-Montana,2013,NA,Crans-Montana,0,0,NA
Crans-Montana,2014,NA,Crans-Montana,0,0,NA
Crans-Montana,2015,NA,Crans-Montana,0,0,NA
Crans-Montana,2016,NA,Crans-Montana,0,0,NA
Crans-Montana,2017,197931,Crans-Montana,197931,12,0
Crans-Montana,2018,228796,Crans-Montana,228796,12,0
Crans-Montana,2019,231024,Crans-Montana,231024,12,0
Crans-Montana,2020,188323,Crans-Montana,188323,12,0
Crans-Montana,2021,205323,Crans-Montana,205323,12,0
Crans-Montana,2022,221562,Crans-Montana,221562,12,0
Crans-Montana,2023,227543,Crans-Montana,227543,12,0
Crans-Montana,2024,206972,Crans-Montana,206972,12,0
Crans-Montana,2025,196927,Crans-Montana,196927,12,0
Crans-Montana,2026,NA,Crans-Montana,66189,3,NA
Sion,2013,60093,Sion,60093,12,0
Sion,2014,62435,Sion,62435,12,0
Sion,2015,61402,Sion,61402,12,0
Sion,2016,67153,Sion,67153,12,0
Sion,2017,62168,Sion,62168,12,0
Sion,2018,65397,Sion,65397,12,0
Sion,2019,70899,Sion,70899,12,0
Sion,2020,49297,Sion,47531,10,NA
Sion,2021,63694,Sion,63694,12,0
Sion,2022,96331,Sion,96331,12,0
Sion,2023,120067,Sion,120067,12,0
Sion,2024,115054,Sion,115054,12,0
Sion,2025,106886,Sion,106886,12,0
Sion,2026,NA,Sion,24709,3,NA
Saas-Fee,2013,314573,Saas-Fee,314573,12,0
Saas-Fee,2014,302076,Saas-Fee,302076,12,0
Saas-Fee,2015,274232,Saas-Fee,274232,12,0
Saas-Fee,2016,261671,Saas-Fee,261671,12,0
Saas-Fee,2017,330347,Saas-Fee,330347,12,0
Saas-Fee,2018,321276,Saas-Fee,321276,12,0
Saas-Fee,2019,319971,Saas-Fee,319971,12,0
Saas-Fee,2020,274409,Saas-Fee,274409,12,0
Saas-Fee,2021,288024,Saas-Fee,288024,12,0
Saas-Fee,2022,262675,Saas-Fee,262675,12,0
Saas-Fee,2023,251484,Saas-Fee,251484,12,0
Saas-Fee,2024,236162,Saas-Fee,236162,12,0
Saas-Fee,2025,271313,Saas-Fee,271313,12,0
Saas-Fee,2026,NA,Saas-Fee,104901,3,NA
Saas-Grund,2013,48881,Saas-Grund,48881,12,0
Saas-Grund,2014,54652,Saas-Grund,54652,12,0
Saas-Grund,2015,59774,Saas-Grund,59774,12,0
Saas-Grund,2016,47991,Saas-Grund,47991,12,0
Saas-Grund,2017,57089,Saas-Grund,57089,12,0
Saas-Grund,2018,57713,Saas-Grund,57713,12,0
Saas-Grund,2019,57121,Saas-Grund,57121,12,0
Saas-Grund,2020,50548,Saas-Grund,50548,12,0
Saas-Grund,2021,52391,Saas-Grund,52391,12,0
Saas-Grund,2022,64407,Saas-Grund,64407,12,0
Saas-Grund,2023,64340,Saas-Grund,64340,12,0
Saas-Grund,2024,55321,Saas-Grund,55321,12,0
Saas-Grund,2025,52690,Saas-Grund,52690,12,0
Saas-Grund,2026,NA,Saas-Grund,21408,3,NA
Visp,2013,29505,Visp,29505,12,0
Visp,2014,28987,Visp,28987,12,0
Visp,2015,29779,Visp,29779,12,0
Visp,2016,28150,Visp,28150,12,0
Visp,2017,30134,Visp,30134,12,0
Visp,2018,35065,Visp,35065,12,0
Visp,2019,38900,Visp,38900,12,0
Visp,2020,31917,Visp,31917,12,0
Visp,2021,36030,Visp,36030,12,0
Visp,2022,41009,Visp,41009,12,0
Visp,2023,44412,Visp,44412,12,0
Visp,2024,46101,Visp,46101,12,0
Visp,2025,45543,Visp,45543,12,0
Visp,2026,NA,Visp,9905,3,NA
Zermatt,2013,1256511,Zermatt,1256511,12,0
Zermatt,2014,1274181,Zermatt,1274181,12,0
Zermatt,2015,1254229,Zermatt,1254229,12,0
Zermatt,2016,1247852,Zermatt,1247852,12,0
Zermatt,2017,1364517,Zermatt,1364517,12,0
Zermatt,2018,1425442,Zermatt,1425442,12,0
Zermatt,2019,1513957,Zermatt,1513957,12,0
Zermatt,2020,997094,Zermatt,997094,12,0
Zermatt,2021,1064727,Zermatt,1064727,12,0
Zermatt,2022,1481092,Zermatt,1481092,12,0
Zermatt,2023,1632630,Zermatt,1632630,12,0
Zermatt,2024,1640200,Zermatt,1640200,12,0
Zermatt,2025,1700264,Zermatt,1700264,12,0
Zermatt,2026,NA,Zermatt,567983,3,NA
La Grande Béroche,2013,NA,La Grande Béroche,0,0,NA
La Grande Béroche,2014,NA,La Grande Béroche,0,0,NA
La Grande Béroche,2015,NA,La Grande Béroche,0,0,NA
La Grande Béroche,2016,NA,La Grande Béroche,0,0,NA
La Grande Béroche,2017,NA,La Grande Béroche,0,0,NA
La Grande Béroche,2018,3359,La Grande Béroche,3359,12,0
La Grande Béroche,2019,4071,La Grande Béroche,4071,12,0
La Grande Béroche,2020,3411,La Grande Béroche,3411,12,0
La Grande Béroche,2021,7456,La Grande Béroche,7456,12,0
La Grande Béroche,2022,12583,La Grande Béroche,12583,12,0
La Grande Béroche,2023,13201,La Grande Béroche,13201,12,0
La Grande Béroche,2024,11944,La Grande Béroche,11944,12,0
La Grande Béroche,2025,10221,La Grande Béroche,10221,12,0
La Grande Béroche,2026,NA,La Grande Béroche,233,3,NA
La Chaux-de-Fonds,2013,32806,La Chaux-de-Fonds,32806,12,0
La Chaux-de-Fonds,2014,36011,La Chaux-de-Fonds,36011,12,0
La Chaux-de-Fonds,2015,35117,La Chaux-de-Fonds,35117,12,0
La Chaux-de-Fonds,2016,35509,La Chaux-de-Fonds,35509,12,0
La Chaux-de-Fonds,2017,35133,La Chaux-de-Fonds,35133,12,0
La Chaux-de-Fonds,2018,31630,La Chaux-de-Fonds,31630,12,0
La Chaux-de-Fonds,2019,32375,La Chaux-de-Fonds,32375,12,0
La Chaux-de-Fonds,2020,19485,La Chaux-de-Fonds,19485,12,0
La Chaux-de-Fonds,2021,30865,La Chaux-de-Fonds,30865,12,0
La Chaux-de-Fonds,2022,27714,La Chaux-de-Fonds,27714,12,0
La Chaux-de-Fonds,2023,29221,La Chaux-de-Fonds,29221,12,0
La Chaux-de-Fonds,2024,31897,La Chaux-de-Fonds,31897,12,0
La Chaux-de-Fonds,2025,31090,La Chaux-de-Fonds,31090,12,0
La Chaux-de-Fonds,2026,NA,La Chaux-de-Fonds,6325,3,NA
Neuchâtel,2013,115902,Neuchâtel,115902,12,0
Neuchâtel,2014,115890,Neuchâtel,115890,12,0
Neuchâtel,2015,108612,Neuchâtel,108612,12,0
Neuchâtel,2016,123263,Neuchâtel,123263,12,0
Neuchâtel,2017,125754,Neuchâtel,125754,12,0
Neuchâtel,2018,124364,Neuchâtel,124364,12,0
Neuchâtel,2019,125469,Neuchâtel,125469,12,0
Neuchâtel,2020,91324,Neuchâtel,91324,12,0
Neuchâtel,2021,135451,Neuchâtel,135451,12,0
Neuchâtel,2022,156230,Neuchâtel,156230,12,0
Neuchâtel,2023,158176,Neuchâtel,158176,12,0
Neuchâtel,2024,154511,Neuchâtel,154511,12,0
Neuchâtel,2025,170168,Neuchâtel,170168,12,0
Neuchâtel,2026,NA,Neuchâtel,26118,3,NA
Laténa,2013,NA,Laténa,0,0,NA
Laténa,2014,NA,Laténa,0,0,NA
Laténa,2015,NA,Laténa,0,0,NA
Laténa,2016,NA,Laténa,0,0,NA
Laténa,2017,NA,Laténa,0,0,NA
Laténa,2018,NA,Laténa,0,0,NA
Laténa,2019,NA,Laténa,0,0,NA
Laténa,2020,NA,Laténa,0,0,NA
Laténa,2021,NA,Laténa,0,0,NA
Laténa,2022,NA,Laténa,0,0,NA
Laténa,2023,NA,Laténa,0,0,NA
Laténa,2024,NA,Laténa,0,0,NA
Laténa,2025,30796,Laténa,30796,12,0
Laténa,2026,NA,Laténa,3787,3,NA
Genève,2013,2046435,Genève,2046435,12,0
Genève,2014,2051975,Genève,2051975,12,0
Genève,2015,2037896,Genève,2037896,12,0
Genève,2016,2040594,Genève,2040594,12,0
Genève,2017,2114793,Genève,2114793,12,0
Genève,2018,2158493,Genève,2158493,12,0
Genève,2019,2182411,Genève,2182411,12,0
Genève,2020,708755,Genève,708755,12,0
Genève,2021,1102356,Genève,1102356,12,0
Genève,2022,2006611,Genève,2006611,12,0
Genève,2023,2252671,Genève,2252671,12,0
Genève,2024,2339075,Genève,2339075,12,0
Genève,2025,2371458,Genève,2371458,12,0
Genève,2026,NA,Genève,510301,3,NA
Lancy,2013,127037,Lancy,127037,12,0
Lancy,2014,140889,Lancy,140889,12,0
Lancy,2015,136655,Lancy,136655,12,0
Lancy,2016,133845,Lancy,133845,12,0
Lancy,2017,136032,Lancy,136032,12,0
Lancy,2018,136811,Lancy,136811,12,0
Lancy,2019,139689,Lancy,139689,12,0
Lancy,2020,45125,Lancy,41600,10,NA
Lancy,2021,54958,Lancy,54958,12,0
Lancy,2022,93685,Lancy,93685,12,0
Lancy,2023,107751,Lancy,107751,12,0
Lancy,2024,110498,Lancy,110498,12,0
Lancy,2025,115793,Lancy,115793,12,0
Lancy,2026,NA,Lancy,21551,3,NA
Meyrin,2013,410714,Meyrin,410714,12,0
Meyrin,2014,443184,Meyrin,443184,12,0
Meyrin,2015,451338,Meyrin,451338,12,0
Meyrin,2016,428372,Meyrin,428372,12,0
Meyrin,2017,454511,Meyrin,454511,12,0
Meyrin,2018,482163,Meyrin,482163,12,0
Meyrin,2019,420897,Meyrin,420897,12,0
Meyrin,2020,140337,Meyrin,140337,12,0
Meyrin,2021,139033,Meyrin,139033,12,0
Meyrin,2022,459373,Meyrin,459373,12,0
Meyrin,2023,667886,Meyrin,667886,12,0
Meyrin,2024,701707,Meyrin,701707,12,0
Meyrin,2025,703536,Meyrin,703536,12,0
Meyrin,2026,NA,Meyrin,163126,3,NA
Vernier,2013,113628,Vernier,113628,12,0
Vernier,2014,120338,Vernier,120338,12,0
Vernier,2015,124699,Vernier,124699,12,0
Vernier,2016,124520,Vernier,124520,12,0
Vernier,2017,127939,Vernier,127939,12,0
Vernier,2018,122321,Vernier,122321,12,0
Vernier,2019,124877,Vernier,124877,12,0
Vernier,2020,38479,Vernier,38479,12,0
Vernier,2021,47396,Vernier,47396,12,0
Vernier,2022,84364,Vernier,84364,12,0
Vernier,2023,195324,Vernier,195324,12,0
Vernier,2024,315474,Vernier,315474,12,0
Vernier,2025,361098,Vernier,361098,12,0
Vernier,2026,NA,Vernier,77943,3,NA
Delémont,2013,35998,Delémont,35998,12,0
Delémont,2014,37520,Delémont,37520,12,0
Delémont,2015,39214,Delémont,39214,12,0
Delémont,2016,38943,Delémont,38943,12,0
